0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng
GRZ|GRZ|||Thalerhof|Thalerhof|Грац|Грац|Graz|Graz
GSA|GSA|||Long Pasia|Long Pasia|||Long Pasia|Long Pasia
GSB|GSB|||Seymour Johnson AFB|Seymour Johnson AFB|||Goldsboro|Goldsboro
GSC|GSC|||Gascoyne Junction|Gascoyne Junction|||Gascoyne Junction|Gascoyne Junction
GSE|GSE|||Gothenburg City Airport|Gothenburg City Airport|Готенбург|Готенбург|Gothenburg|Gothenburg
GSH|GSH|||Goshen|Goshen|||Goshen|Goshen
GSI|GSI|Гуадалканал|Гуадалканал|Guadalcanal|Guadalcanal|Гуадалканал|Гуадалканал|Guadalcanal|Guadalcanal
GSL|GSL|||Taltheilei Narrows|Taltheilei Narrows|||Taltheilei Narrows|Taltheilei Narrows
GSM|GSM|||Gheshm|Gheshm|||Gheshm|Gheshm
GSN|GSN|||Mount Gunson|Mount Gunson|||Mount Gunson|Mount Gunson
GSO|GSO|||Piedmont Triad Intl|Piedmont Triad Intl|||High Point|High Point
GSP|GSP|||Greenville Spartanbur Int&#039;l Airport|Greenville Spartanbur Int&#039;l Airport|||Greenville|Greenville
GSQ|GSQ|||Shark Elowainat|Shark Elowainat|||Shark Elowainat|Shark Elowainat
GSR|GSR|Гардо|Гардо|Gardo|Gardo|Гардо|Гардо|Gardo|Gardo
GSS|GSS|||Sabi Sabi|Sabi Sabi|||Sabi Sabi|Sabi Sabi
GST|GST|||Gustavus Arpt|Gustavus Arpt|||Gustavus|Gustavus
GSU|GSU|Гедарев|Гедарев|Gedaref|Gedaref|Гедарев|Гедарев|Gedaref|Gedaref
GSY|GSY|||Binbrook|Binbrook|Гримсби|Гримсби|Grimsby|Grimsby
GTA|GTA|||Gatokae Aerodrom|Gatokae Aerodrom|||Gatokae|Gatokae
GTB|GTB|Гентинг|Гентинг|Genting|Genting|Гентинг|Гентинг|Genting|Genting
GTC|GTC|||Green Turtle|Green Turtle|||Green Turtle|Green Turtle
GTE|GTE|||Alyangula|Alyangula|||Groote Eylandt|Groote Eylandt
GTF|GTF|||International|International|||Great Falls|Great Falls
GTG|GTG|||Municipal|Municipal|||Grantsburg|Grantsburg
GTI|GTI|Гюттин|Гюттин|Guettin|Guettin|Гюттин|Гюттин|Guettin|Guettin
GTK|GTK|||Sungei Tekai|Sungei Tekai|||Sungei Tekai|Sungei Tekai
GTN|GTN|||Glentanner|Glentanner|Маунт Кук|Маунт Кук|Mount Cook|Mount Cook
GTO|GTO|||Tolotio|Tolotio|Горонтало|Горонтало|Gorontalo|Gorontalo
GTR|GTR|||Golden Triangle Reg.|Golden Triangle Reg.|||Columbus|Columbus
GTS|GTS|||Granites|Granites|||Granites|Granites
GTT|GTT|||Georgetown|Georgetown|||Georgetown|Georgetown
GTW|GTW|||Holesov|Holesov|Злин|Злин|Zlin|Zlin
GTY|GTY|Геттисберг|Геттисберг|Gettysburg|Gettysburg|Геттисберг|Геттисберг|Gettysburg|Gettysburg
GUA|GUA|||La Aurora|La Aurora|Гватемала Сити|Гватемала Сити|Guatemala City|Guatemala City
GUB|GUB|Гверреро-Негро|Гверреро-Негро|Guerrero Negro|Guerrero Negro|Гверреро-Негро|Гверреро-Негро|Guerrero Negro|Guerrero Negro
GUC|GUC|||Gunnison|Gunnison|||Gunnison|Gunnison
GUD|GUD|Гундам|Гундам|Goundam|Goundam|Гундам|Гундам|Goundam|Goundam
GUE|GUE|||Guriaso|Guriaso|||Guriaso|Guriaso
GUF|GUF|||Edwards|Edwards|||Gulf Shores|Gulf Shores
GUG|GUG|Гуари|Гуари|Guari|Guari|Гуари|Гуари|Guari|Guari
GUH|GUH|||Gunnedah|Gunnedah|||Gunnedah|Gunnedah
GUI|GUI|Гуйриа|Гуйриа|Guiria|Guiria|Гуйриа|Гуйриа|Guiria|Guiria
GUJ|GUJ|||Guaratingueta|Guaratingueta|||Guaratingueta|Guaratingueta
GUL|GUL|Гоулбурн|Гоулбурн|Goulburn|Goulburn|Гоулбурн|Гоулбурн|Goulburn|Goulburn
GUN|GUN|||Gunter AFB|Gunter AFB|||Montgomery|Montgomery
GUO|GUO|Гуалако|Гуалако|Gualaco|Gualaco|Гуалако|Гуалако|Gualaco|Gualaco
GUP|GUP|||Senator Clark|Senator Clark|Галлап|Галлап|Gallup|Gallup
GUQ|GUQ|Гуанаре|Гуанаре|Guanare|Guanare|Гуанаре|Гуанаре|Guanare|Guanare
GUR|GUR|||Gurney|Gurney|||Alotau|Alotau
GUS|GUS|||Grissom Afb|Grissom Afb|||Peru, Indiana|Peru, Indiana
GUT|GUT|||Guetersloh|Guetersloh|||Guetersloh|Guetersloh
GUU|GUU|||Grundarfjordur|Grundarfjordur|||Grundarfjordur|Grundarfjordur
GUV|GUV|Мугулу|Мугулу|Mougulu|Mougulu|Мугулу|Мугулу|Mougulu|Mougulu
GUW|GUW|Атырау|Атырау|Atyrau International|Atyrau International|Атырау|Атырау|Atyrau|Atyrau
GUX|GUX|Гуна|Гуна|Guna|Guna|Гуна|Гуна|Guna|Guna
GUY|GUY|||Guymon|Guymon|||Guymon|Guymon
GUZ|GUZ|||Guarapari|Guarapari|||Guarapari|Guarapari
GVA|GVA|||Geneve-cointrin|Geneve-cointrin|Женева|Женева|Geneva|Geneva
GVE|GVE|||Municipal|Municipal|||Gordonsville|Gordonsville
GVI|GVI|Грин-Ривер|Грин-Ривер|Green River|Green River|Грин-Ривер|Грин-Ривер|Green River|Green River
GVL|GVL|||Lee Gilmer Memorial|Lee Gilmer Memorial|||Gainesville|Gainesville
GVP|GVP|||Greenvale|Greenvale|||Greenvale|Greenvale
GVR|GVR|||Governador Valadares|Governador Valadares|||Governador Valadares|Governador Valadares
GVT|GVT|||Majors Field|Majors Field|||Greenville|Greenville
GVW|GVW|||Richards-Gebaur|Richards-Gebaur|||Grandview|Grandview
GVX|GVX|||Sandviken|Sandviken|Гавле|Гавле|Gavle|Gavle
GWA|GWA|||Gwa|Gwa|||Gwa|Gwa
GWD|GWD|Гвадар|Гвадар|Gwadar|Gwadar|Гвадар|Гвадар|Gwadar|Gwadar
GWE|GWE|Гверу|Гверу|Gweru|Gweru|Гверу|Гверу|Gweru|Gweru
GWL|GWL|Гуалиор|Гуалиор|Gwalior|Gwalior|Гвалиор|Гвалиор|Gwalior|Gwalior
GWN|GWN|||Gnarowein|Gnarowein|||Gnarowein|Gnarowein
GWO|GWO|||Leflore|Leflore|||Greenwood|Greenwood
GWS|GWS|||Glenwood Springs|Glenwood Springs|||Glenwood Springs|Glenwood Springs
GWT|GWT|||Westerland - Sylt|Westerland - Sylt|||Westerland|Westerland
GWV|GWV|||Glendale|Glendale|||Glendale|Glendale
GWW|GWW|||Raf Gatow|Raf Gatow|Берлин|Берлин|Berlin|Berlin
GWY|GWY|||Carnmore|Carnmore|Голуэй|Голуэй|Galway|Galway
GXF|GXF|Сейюн|Сейюн|Seiyun|Seiyun|Сейюн|Сейюн|Seiyun|Seiyun
GXG|GXG|Негаге|Негаге|Negage|Negage|Негаге|Негаге|Negage|Negage
GXH|GXH|||NAF|NAF|Милденхолл|Милденхолл|Mildenhall|Mildenhall
GXQ|GXQ|||Ten. Vidal|Ten. Vidal|Койайке|Койайке|Coyhaique|Coyhaique
GXX|GXX|Ягуа|Ягуа|Yagoua|Yagoua|Ягуа|Ягуа|Yagoua|Yagoua
GXY|GXY|||Weld County|Weld County|||Greeley|Greeley
GYA|GYA|Гуаярамерин|Гуаярамерин|Guayaramerin|Guayaramerin|Гуаярамерин|Гуаярамерин|Guayaramerin|Guayaramerin
GYD|GYD|Гейдар Алиев|Гейдар Алиев|Heydar Aliyev|Heydar Aliyev|Баку|Баку|Baku|Baku
GYE|GYE|||Simon Bolivar|Simon Bolivar|Гуайяквил|Гуайяквил|Guayaquil|Guayaquil
GYI|GYI|Гисеный|Гисеный|Gisenyi|Gisenyi|Гисеный|Гисеный|Gisenyi|Gisenyi
GYL|GYL|||Argyle|Argyle|||Argyle|Argyle
GYM|GYM|||Gen Jose M Yanez|Gen Jose M Yanez|||Guaymas|Guaymas
GYN|GYN|||Santa Genoveva|Santa Genoveva|||Goiania|Goiania
GYP|GYP|||Gympie|Gympie|||Gympie|Gympie
GYR|GYR|||Litchfield|Litchfield|||Goodyear|Goodyear
GYS|GYS|||Guang Yuan|Guang Yuan|||Guang Yuan|Guang Yuan
GYY|GYY|||Gary/Chicago International|Gary/Chicago International|||Gary (IN)|Gary (IN)
GZI|GZI|Газни|Газни|Ghazni|Ghazni|Газни|Газни|Ghazni|Ghazni
GZM|GZM|||Gozo Heliport|Gozo Heliport|Гозо|Гозо|Gozo|Gozo
GZO|GZO|Гизо|Гизо|Gizo|Gizo|Гизо|Гизо|Gizo|Gizo
GZT|GZT|Газиантеп|Газиантеп|Gaziantep|Gaziantep|Газиантеп|Газиантеп|Gaziantep|Gaziantep
GZW|GZW|||Ghazvin|Ghazvin|||Ghazvin|Ghazvin
HAA|HAA|Хасвик|Хасвик|Hasvik|Hasvik|Хасвик|Хасвик|Hasvik|Hasvik
HAB|HAB|||Marion County|Marion County|Гамильтон|Гамильтон|Hamilton|Hamilton
HAC|HAC|||Hachijo Jima|Hachijo Jima|||Hachijo Jima|Hachijo Jima
HAD|HAD|Халмстад|Халмстад|Halmstad|Halmstad|Халмстад|Халмстад|Halmstad|Halmstad
HAE|HAE|||Havasupai|Havasupai|||Havasupai|Havasupai
HAF|HAF|||Half Moon|Half Moon|||Half Moon|Half Moon
HAH|HAH|||Prince Said Ibrahim In|Prince Said Ibrahim In|||Moroni|Moroni
HAI|HAI|||Dr Haines|Dr Haines|||Three Rivers|Three Rivers
HAJ|HAJ|||Hanover Arpt|Hanover Arpt|Ганновер|Ганновер|Hanover|Hanover
HAK|HAK|Хайкоу|Хайкоу|Haikou|Haikou|Хайкоу|Хайкоу|Haikou|Haikou
HAL|HAL|Халали|Халали|Halali|Halali|Халали|Халали|Halali|Halali
HAM|HAM|Аэропорт Гамбурга|Аэропорт Гамбурга|Hamburg Airport|Hamburg Airport|Гамбург|Гамбург|Hamburg|Hamburg
HAN|HAN|||Noibai International|Noibai International|Ханой|Ханой|Hanoi|Hanoi
HAO|HAO|Гамильтон|Гамильтон|Hamilton|Hamilton|Гамильтон|Гамильтон|Hamilton|Hamilton
HAP|HAP|Лонг Айленд|Лонг Айленд|Long Island|Long Island|Лонг Айленд|Лонг Айленд|Long Island|Long Island
HAQ|HAQ|||Hanimaadhoo|Hanimaadhoo|||Hanimaadhoo|Hanimaadhoo
HAR|HAR|||Capital City|Capital City|||Harrisburg|Harrisburg
HAS|HAS|Хаиль|Хаиль|Hail|Hail|Хаиль|Хаиль|Hail|Hail
HAT|HAT|||Heathlands|Heathlands|||Heathlands|Heathlands
HAU|HAU|Хаугезунд|Хаугезунд|Haugesund|Haugesund|Хаугезунд|Хаугезунд|Haugesund|Haugesund
HAV|HAV|||Jose Marti Intl|Jose Marti Intl|Гавана|Гавана|Havana|Havana
HAW|HAW|||Haverfordwest|Haverfordwest|||Haverfordwest|Haverfordwest
HAX|HAX|||Hatbox Field|Hatbox Field|||Muskogee|Muskogee
HAY|HAY|||Haycock|Haycock|||Haycock|Haycock
HAZ|HAZ|Хетцфельдтавен|Хетцфельдтавен|Hatzfeldthaven|Hatzfeldthaven|Хетцфельдтавен|Хетцфельдтавен|Hatzfeldthaven|Hatzfeldthaven
HBA|HBA|Хобарт|Хобарт|Hobart|Hobart|Хобарт|Хобарт|Hobart|Hobart
HBB|HBB|||Industrial Airpark|Industrial Airpark|||Hobbs|Hobbs
HBC|HBC|||Hanus Bay|Hanus Bay|||Hanus Bay|Hanus Bay
HBD|HBD|||Habi|Habi|||Habi|Habi
HBE|HBE|Борк Эль Араб|Борк Эль Араб|Borg El Arab|Borg El Arab|Александрия|Александрия|Alexandria|Alexandria
HBG|HBG|||The Hattiesburg-Bobby L. Chain Mun.|The Hattiesburg-Bobby L. Chain Mun.|Хаттисберг|Хаттисберг|Hattiesburg|Hattiesburg
HBH|HBH|||Hobart Bay|Hobart Bay|||Hobart Bay|Hobart Bay
HBI|HBI|Харбор-Айленд|Харбор-Айленд|Harbour Island|Harbour Island|Харбор-Айленд|Харбор-Айленд|Harbour Island|Harbour Island
HBL|HBL|||Babelegi Heliport|Babelegi Heliport|Бабелеги|Бабелеги|Babelegi|Babelegi
HBN|HBN|||Flamingo|Flamingo|||Phu-bon|Phu-bon
HBO|HBO|||Municipal|Municipal|||Humboldt|Humboldt
HBR|HBR|Хобарт|Хобарт|Hobart|Hobart|||Hobart, OK|Hobart, OK
HBT|HBT|Хафр-Альбатин|Хафр-Альбатин|Hafr Albatin|Hafr Albatin|Хафр-Альбатин|Хафр-Альбатин|Hafr Albatin|Hafr Albatin
HBX|HBX|Хубли|Хубли|Hubli|Hubli|Хубли|Хубли|Hubli|Hubli
HCA|HCA|||Howard County|Howard County|||Big Spring|Big Spring
HCB|HCB|||Shoal Cove|Shoal Cove|||Shoal Cove|Shoal Cove
HCC|HCC|||Columbia County|Columbia County|||Hudson|Hudson
HCM|HCM|||Eil|Eil|||Eil|Eil
HCN|HCN|||Hengchun|Hengchun|||Hengchun|Hengchun
HCQ|HCQ|Холлз Крик|Холлз Крик|Halls Creek|Halls Creek|Холлз Крик|Холлз Крик|Halls Creek|Halls Creek
HCR|HCR|||Holy Cross|Holy Cross|||Holy Cross|Holy Cross
HCS|HCS|||Randburg Heliport|Randburg Heliport|Йоханнесбург|Йоханнесбург|Johannesburg|Johannesburg
HCW|HCW|||Cheraw|Cheraw|||Cheraw|Cheraw
HDA|HDA|||Hidden Falls|Hidden Falls|||Hidden Falls|Hidden Falls
HDB|HDB|Хайдельберг|Хайдельберг|Heidelberg|Heidelberg|Хайдельберг|Хайдельберг|Heidelberg|Heidelberg
HDD|HDD|Хайдерабад|Хайдерабад|Hyderabad|Hyderabad|Хидерабад|Хидерабад|Hyderabad|Hyderabad
HDE|HDE|||Brewster Field|Brewster Field|||Holdrege|Holdrege
HDF|HDF|Херингсдорф|Херингсдорф|Heringsdorf|Heringsdorf|Херингсдорф|Херингсдорф|Heringsdorf|Heringsdorf
HDH|HDH|||Dillingham Airfield|Dillingham Airfield|||Oahu|Oahu
HDM|HDM|Хамадан|Хамадан|Hamadan|Hamadan|Хамадан|Хамадан|Hamadan|Hamadan
HDN|HDN|||Yampa Valley|Yampa Valley|||Hayden|Hayden
HDR|HDR|||Havadarya|Havadarya|||Havadarya|Havadarya
HDS|HDS|||Hoedspruit Airport|Hoedspruit Airport|||Hoedspruit|Hoedspruit
HDY|HDY|Хат Яй|Хат Яй|Hat Yai|Hat Yai|Хат Яй|Хат Яй|Hat Yai|Hat Yai
HEA|HEA|Герат|Герат|Herat|Herat|Герат|Герат|Herat|Herat
HEB|HEB|Хензада|Хензада|Henzada|Henzada|Хензада|Хензада|Henzada|Henzada
HED|HED|||Herendeen|Herendeen|||Herendeen|Herendeen
HEE|HEE|||Thompson-Robbins|Thompson-Robbins|Хелена|Хелена|Helena|Helena
HEH|HEH|Хехо|Хехо|Heho|Heho|Хехо|Хехо|Heho|Heho
HEI|HEI|||Heide-Buesum|Heide-Buesum|||Heide-Buesum|Heide-Buesum
HEK|HEK|Хейхе|Хейхе|Heihe|Heihe|Хейхе|Хейхе|Heihe|Heihe
HEL|HEL|Хельсинки-Вантаа|Хельсинки-Вантаа|Helsinki-Vantaa|Helsinki-Vantaa|||Vantaa|Vantaa
HEM|HEM|Хельсинки-Мальми|Хельсинки-Мальми|Helsinki-malmi|Helsinki-malmi|Хельсинки|Хельсинки|Helsinki|Helsinki
HEN|HEN|||Hendon|Hendon|||Hendon|Hendon
HEO|HEO|||Haelogo|Haelogo|||Haelogo|Haelogo
HER|HER|||Nikos Kazantzakis Airport|Nikos Kazantzakis Airport|||Heraklion|Heraklion
HES|HES|||State|State|||Hermiston|Hermiston
HET|HET|Хоххот|Хоххот|Hohhot|Hohhot|Хоххот|Хоххот|Hohhot|Hohhot
HEV|HEV|Гуелва|Гуелва|Huelva|Huelva|Гуелва|Гуелва|Huelva|Huelva
HEW|HEW|||Hellinikon (Closed)|Hellinikon (Closed)|Афины|Афины|Athens|Athens
HEX|HEX|||Santo Domingo Herrera|Santo Domingo Herrera|Санто-Доминго|Санто-Доминго|Santo Domingo|Santo Domingo
HEY|HEY|||Hanchey Army Heliport|Hanchey Army Heliport|||Ozark|Ozark
HEZ|HEZ|||Hardy-Anders|Hardy-Anders|Натчез|Натчез|Natchez|Natchez
HFA|HFA|Хайфа|Хайфа|Haifa|Haifa|Хайфа|Хайфа|Haifa|Haifa
HFD|HFD|||Brainard|Brainard|Хартфорд|Хартфорд|Hartford|Hartford
HFE|HFE|Шанхай|Шанхай|Shanghai|Shanghai|Хефей|Хефей|Hefei|Hefei
HFF|HFF|||Mackall AAF|Mackall AAF|||Hoffman|Hoffman
HFN|HFN|||Hornafjordur|Hornafjordur|||Hornafjordur|Hornafjordur
HFS|HFS|Хагфорс|Хагфорс|Hagfors|Hagfors|Хагфорс|Хагфорс|Hagfors|Hagfors
HFT|HFT|Хаммерфест|Хаммерфест|Hammerfest|Hammerfest|Хаммерфест|Хаммерфест|Hammerfest|Hammerfest
HGA|HGA|Харгейса|Харгейса|Hargeisa|Hargeisa|Харгейса|Харгейса|Hargeisa|Hargeisa
HGD|HGD|||Hughenden|Hughenden|||Hughenden|Hughenden
HGH|HGH|Ханчжоу|Ханчжоу|Hangzhou|Hangzhou|Ханчжоу|Ханчжоу|Hangzhou|Hangzhou
HGI|HGI|||Higlieg|Higlieg|||Higlieg|Higlieg
HGL|HGL|Хелголанд|Хелголанд|Helgoland|Helgoland|Хелголанд|Хелголанд|Helgoland|Helgoland
HGN|HGN|Мей-Хонг-Сон|Мей-Хонг-Сон|Mae Hong Son|Mae Hong Son|Мей-Хонг-Сон|Мей-Хонг-Сон|Mae Hong Son|Mae Hong Son
HGO|HGO|||Korhogo|Korhogo|||Korhogo|Korhogo
HGR|HGR|||Wash. County Regional|Wash. County Regional|||Hagerstown|Hagerstown
HGS|HGS|||Hastings|Hastings|||Freetown|Freetown
HGT|HGT|||Hunter AAF|Hunter AAF|||Jolon|Jolon
HGU|HGU|||Kagamuga|Kagamuga|||Mount Hagen|Mount Hagen
HGZ|HGZ|||Hogatza|Hogatza|||Hogatza|Hogatza
HHA|HHA|||Huanghua International|Huanghua International|Чанша|Чанша|Changsha|Changsha
HHE|HHE|Хачинохе|Хачинохе|Hachinohe|Hachinohe|Хачинохе|Хачинохе|Hachinohe|Hachinohe
HHH|HHH|||Hilton Head|Hilton Head|||Hilton Head|Hilton Head
HHI|HHI|||Wheeler AFB|Wheeler AFB|||Wahiawa|Wahiawa
HHN|HHN|||Frankfurt-Hahn|Frankfurt-Hahn|||Hahn|Hahn
HHP|HHP|||H K Heliport|H K Heliport|Гонконг|Гонконг|Hong Kong|Hong Kong
HHQ|HHQ|||Hua Hin Airport|Hua Hin Airport|Хуа-Хин|Хуа-Хин|Hua Hin|Hua Hin
HHR|HHR|||Hawthorne|Hawthorne|||Hawthorne|Hawthorne
HHZ|HHZ|Хикуэру|Хикуэру|Hikueru|Hikueru|Хикуэру|Хикуэру|Hikueru|Hikueru
HIB|HIB|||Chisholm|Chisholm|||Chisholm|Chisholm
HIC|HIC|||Iscor Heliport|Iscor Heliport|Претория|Претория|Pretoria|Pretoria
HID|HID|Хорн-Айленд|Хорн-Айленд|Horn Island|Horn Island|Хорн-Айленд|Хорн-Айленд|Horn Island|Horn Island
HIE|HIE|||Regional|Regional|||Whitefield|Whitefield
HIF|HIF|||Hill Afb|Hill Afb|Огден|Огден|Ogden|Ogden
HIG|HIG|Хайбери|Хайбери|Highbury|Highbury|Хайбери|Хайбери|Highbury|Highbury
HIH|HIH|Хук-Айленд|Хук-Айленд|Hook Island|Hook Island|Хук-Айленд|Хук-Айленд|Hook Island|Hook Island
HII|HII|||Municipal|Municipal|||Lake Havasu City|Lake Havasu City
HIJ|HIJ|||International|International|Хиросима|Хиросима|Hiroshima|Hiroshima
HIK|HIK|||Hickam AFB|Hickam AFB|Гонолулу|Гонолулу|Honolulu|Honolulu
HIL|HIL|Шилаво|Шилаво|Shillavo|Shillavo|Шилаво|Шилаво|Shillavo|Shillavo
HIM|HIM|||Hingurakgoda|Hingurakgoda|||Hingurakgoda|Hingurakgoda
HIN|HIN|||Sacheon|Sacheon|||Jinju|Jinju
HIO|HIO|Портланд|Портланд|Portland|Portland|||Hillsboro|Hillsboro
HIP|HIP|||Headingly|Headingly|||Headingly|Headingly
HIR|HIR|||Henderson Intl|Henderson Intl|||Honiara|Honiara
HIS|HIS|Хейман Айленд|Хейман Айленд|Hayman Island|Hayman Island|Хейман Айленд|Хейман Айленд|Hayman Island|Hayman Island
HIT|HIT|Хиваро|Хиваро|Hivaro|Hivaro|Хиваро|Хиваро|Hivaro|Hivaro
HIW|HIW|||Hiroshima West|Hiroshima West|Хиросима|Хиросима|Hiroshima|Hiroshima
HIX|HIX|||Hiva Oa|Hiva Oa|||Hiva Oa|Hiva Oa
HJJ|HJJ|||Zhi Jiang|Zhi Jiang|||Zhi Jiang|Zhi Jiang
HJR|HJR|Кхаджурахо|Кхаджурахо|Khajuraho|Khajuraho|Кхаджурахо|Кхаджурахо|Khajuraho|Khajuraho
HJT|HJT|||Khujirt|Khujirt|||Khujirt|Khujirt
HKA|HKA|||Municipal|Municipal|||Blytheville|Blytheville
HKB|HKB|||Healy Lake|Healy Lake|||Healy Lake|Healy Lake
HKD|HKD|Хакодате|Хакодате|Hakodate|Hakodate|Хакодате|Хакодате|Hakodate|Hakodate
HKG|HKG|||Hong Kong International|Hong Kong International|Гонконг|Гонконг|Hong Kong|Hong Kong
HKK|HKK|||Hokitika Arpt|Hokitika Arpt|Хокитика|Хокитика|Hokitika|Hokitika
HKN|HKN|||Hoskins|Hoskins|||Hoskins|Hoskins
HKS|HKS|||Hawkins Field|Hawkins Field|Джексон|Джексон|Jackson|Jackson
HKT|HKT|||Phuket International|Phuket International|Пхукет|Пхукет|Phuket|Phuket
HKV|HKV|Хасково|Хасково|Haskovo|Haskovo|Хасково|Хасково|Haskovo|Haskovo
HKY|HKY|||Hickory|Hickory|||Hickory|Hickory
HLA|HLA|Лансерия|Лансерия|Lanseria|Lanseria|Лансерия|Лансерия|Lanseria|Lanseria
HLB|HLB|||Hillenbrand|Hillenbrand|||Batesville|Batesville
HLC|HLC|||Hill City|Hill City|||Hill City|Hill City
HLD|HLD|Хайлар|Хайлар|Hailar|Hailar|Хайлар|Хайлар|Hailar|Hailar
HLF|HLF|||Hultsfred - Vimmerby|Hultsfred - Vimmerby|Хултсфред|Хултсфред|Hultsfred|Hultsfred
HLG|HLG|||Ohio County|Ohio County|||Wheeling|Wheeling
HLH|HLH|Уланьхот|Уланьхот|Ulanhot|Ulanhot|Уланьхот|Уланьхот|Ulanhot|Ulanhot
HLI|HLI|||Hollister|Hollister|||Hollister|Hollister
HLL|HLL|||Hillside|Hillside|||Hillside|Hillside
HLM|HLM|||Park Township|Park Township|||Holland|Holland
HLN|HLN|Хелена|Хелена|Helena|Helena|Хелена|Хелена|Helena|Helena
HLP|HLP|||Halim Perdana Kusuma|Halim Perdana Kusuma|Джакарта|Джакарта|Jakarta|Jakarta
HLR|HLR|||Fort Hood AAF|Fort Hood AAF|||Killeen|Killeen
HLS|HLS|Сент Хеленс|Сент Хеленс|St Helens|St Helens|Сент Хеленс|Сент Хеленс|St Helens|St Helens
HLT|HLT|Гамильтон|Гамильтон|Hamilton|Hamilton|Гамильтон|Гамильтон|Hamilton|Hamilton
HLU|HLU|||Houailou|Houailou|||Houailou|Houailou
HLV|HLV|Хеленвейл|Хеленвейл|Helenvale|Helenvale|Хеленвейл|Хеленвейл|Helenvale|Helenvale
HLW|HLW|Хлухлуве|Хлухлуве|Hluhluwe|Hluhluwe|Хлухлуве|Хлухлуве|Hluhluwe|Hluhluwe
HLY|HLY|||Anglesey Airport|Anglesey Airport|||Holyhead|Holyhead
HLZ|HLZ|Гамильтон|Гамильтон|Hamilton|Hamilton|Гамильтон|Гамильтон|Hamilton|Hamilton
HMA|HMA|Ханты-Мансийск|Ханты-Мансийск|Khanty-Mansiysk|Khanty-Mansiysk|Ханты-Мансийск|Ханты-Мансийск|Khanty-mansiysk|Khanty-mansiysk
HME|HME|||Oued Irara Apt|Oued Irara Apt|||Hassi Messaoud|Hassi Messaoud
HMG|HMG|||Hermannsburg|Hermannsburg|||Hermannsburg|Hermannsburg
HMI|HMI|Хами|Хами|Hami|Hami|Хами|Хами|Hami|Hami
HMJ|HMJ|Хмельницкий|Хмельницкий|Khmelnitskiy|Khmelnitskiy|Хмельницкий|Хмельницкий|Khmelnitskiy|Khmelnitskiy
HMN|HMN|||Holloman AFB|Holloman AFB|Аламогордо|Аламогордо|Alamogordo|Alamogordo
HMO|HMO|||Gen Pesqueira Garcia|Gen Pesqueira Garcia|Хермосилльо|Хермосилльо|Hermosillo|Hermosillo
HMR|HMR|||Hamar Arpt|Hamar Arpt|Хамар|Хамар|Hamar|Hamar
HMS|HMS|||Homeshore|Homeshore|||Homeshore AK|Homeshore AK
HMT|HMT|||Ryan Field|Ryan Field|||Hemet|Hemet
HMV|HMV|||Hemavan|Hemavan|||Hemavan|Hemavan
HNA|HNA|||Hanamaki|Hanamaki|||Hanamaki|Hanamaki
HNB|HNB|||Municipal|Municipal|||Huntingburg|Huntingburg
HNC|HNC|||Hatteras|Hatteras|||Hatteras|Hatteras
HND|HND|||Haneda|Haneda|Токио|Токио|Tokyo|Tokyo
HNE|HNE|||Tahneta Pass|Tahneta Pass|||Tahneta Pass Lodge|Tahneta Pass Lodge
HNG|HNG|Хьенгене|Хьенгене|Hienghene|Hienghene|Хьенгене|Хьенгене|Hienghene|Hienghene
HNH|HNH|||Hoonah|Hoonah|||Hoonah|Hoonah
HNI|HNI|Хейвени|Хейвени|Heiweni|Heiweni|Хейвени|Хейвени|Heiweni|Heiweni
HNK|HNK|||Hinchinbrook Island|Hinchinbrook Island|||Hinchinbrook Island|Hinchinbrook Island
HNL|HNL|||Honolulu International|Honolulu International|Гонолулу|Гонолулу|Honolulu|Honolulu
HNM|HNM|||Hana|Hana|||Hana|Hana
HNN|HNN|Хонинаби|Хонинаби|Honinabi|Honinabi|Хонинаби|Хонинаби|Honinabi|Honinabi
HNO|HNO|||Hercegnovi|Hercegnovi|||Hercegnovi|Hercegnovi
HNS|HNS|||Municipal|Municipal|||Haines|Haines
HNX|HNX|||Hanna|Hanna|||Hanna|Hanna
HNY|HNY|Хеньян|Хеньян|Hengyang|Hengyang|Хеньян|Хеньян|Hengyang|Hengyang
HOA|HOA|Хола|Хола|Hola|Hola|Хола|Хола|Hola|Hola
HOB|HOB|||Lea County|Lea County|||Hobbs|Hobbs
HOC|HOC|||Komako|Komako|||Komako|Komako
HOD|HOD|||Hodeidah Arpt|Hodeidah Arpt|||Hodeidah|Hodeidah
HOE|HOE|Хоуисей|Хоуисей|Houeisay|Houeisay|Хоуисей|Хоуисей|Houeisay|Houeisay
HOF|HOF|||Alahsa|Alahsa|||Alahsa|Alahsa
HOG|HOG|||Frank Pais|Frank Pais|Голгуин|Голгуин|Holguin|Holguin
HOH|HOH|Хохенемс|Хохенемс|Hohenems|Hohenems|Хохенемс|Хохенемс|Hohenems|Hohenems
HOI|HOI|Хао-Айленд|Хао-Айленд|Hao Island|Hao Island|Хао-Айленд|Хао-Айленд|Hao Island|Hao Island
HOK|HOK|||Hooker Creek|Hooker Creek|||Hooker Creek|Hooker Creek
HOL|HOL|||Holikachu|Holikachu|||Holikachu|Holikachu
HOM|HOM|||Homer|Homer|||Homer|Homer
HON|HON|||Howes|Howes|||Huron|Huron
